objectid,filename,youtubeid,vimeoid,title,creator,date,date_created,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights
pk001,t1pollit_mapa.jpg,,,Map of Poland and Lithuania during the Jagiellonian dynasty,"Wielhorski, Władysław",1959,,Map of the borders of the Kingdom of Poland the Grand Duchy of Lithuania as of 1494 and 1522,Kingdom of Poland; Grand Duchy of Lithuania,Central Europe; Eastern Europe,,,"PG 24-25, Pamiętnik Kijowski, T1",,Image;StillImage,image/jpeg,pol,http://rightsstatements.org/vocab/NoC-US/1.0/ 
pk002,ziemie_ukrainne_mapa.jpeg,,,Map of Ukraine in the 17th century,"Wielhorski, Władysław",1959,,Map of Ukrainian lands outlining the boundaries of the Polish Rzeczpospolita in the 17th century as well as the boundaries of the voivodeships before the partitions. ,Polish Rzeczpospolita; Ukraine; Voivodeships,Ukraine,,,"PG 56-57, Pamiętnik Kijowski, T1",,Image;StillImage,image/jpeg,pol,
pk003,t3_braha.jpeg,,,"Braha, dwór Kownackich","Jaworska, Jadwiga z Kownackich ",,1905-1917,"Photograph of the estate of Jadwiga Jaworska's father, Izydor, in Braha. ",estates,"Braha, Khmelnytskyi Oblast; Ukraine",48.52261787,26.50899217,"PG 80, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,
pk004,t3_czerepa.jpeg,,,Czerepaszyńce Zdziechowskich,collection of Maria Bobińska,,1822-1826,Photograph of the estate of Feliks Zdziechowski,estates,"Cherepashyntsi, Vinnytsia Oblast; Ukraine",49.53342165,28.59351897,"PG 88-89, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,
pk005,t3_peczara.jpeg,,,Peczara hr. Potockich,"Urbański, Antoni",1928,first half of 19th century,Photograph of the estate of Count Franciszek Potocki,estates,"Pechera, Vinnytsia Oblast; Ukraine",48.86178853,28.71311312,"PG 88-89, 156, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,
pk006,t3_pietni.jpeg,,,Pietniczany,"Orda, Napoleon; Podolska, G.",,16th century to 1918,Photograph of the Pietniczany estate of the Grocholski family,estates,"Pyatnichany, Vinnytsia, Vinnytsia Oblast; Ukraine",49.24845653,28.45625094,"PG 84, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,
pk007,t3_popiel.jpeg,,,Popieluchy,"Urbański, Antoni",1928,1879-1880,Photograph of the estate of Zenon Brzozowski,estates,"Popelyukhy, Vinnytsia Oblast; Ukraine",48.21793423,28.96999322,"PG 88-89, Pamiętnik Kijowski, T3",,Image;StillImage,image/jpeg,pol,
pk008,t4_branicki.jpeg,,,Biała Cerkiew hr. Branickich,,,18th century to 1917,Photographo of the Winter Palace of the Branicki family,estates,"Bila Tserkva, Kyiv Oblast; Ukraine",49.79289552,30.10953081,"PG 82-83, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,
pk009,t4_olizar.jpeg,,,"Czarnolas Włodzimierza Olizara, Kijowszczyzna",,,16th century,Photograph  of the Olizar family estate,estates,"Korostyshiv, Zhytomyr Oblast; Ukraine",50.32012896,29.06668817,"PG 130, Pamiętnik Kijowski, T4",,Image;StillImage,image/jpeg,pol,
